City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,-22.7,98,83,0.46,GL,1741200360
1,atafu village,-8.5421,-172.5159,27.86,70,100,4.09,TK,1741200362
2,adamstown,-25.066,-130.1015,25.65,75,92,5.47,PN,1741200363
3,constantia,44.1833,28.65,5.38,63,48,3.18,RO,1741200088
4,mount pearl,47.5166,-52.7813,2.3,83,75,8.75,CA,1741200283
5,qaqortoq,60.7167,-46.0333,-13.55,68,100,1.07,GL,1741200366
6,invercargill,-46.4,168.35,8.26,84,0,2.44,NZ,1741200367
7,kodiak,57.79,-152.4072,2.73,87,100,4.63,US,1741200369
8,port-aux-francais,-49.35,70.2167,7.0,79,65,13.75,TF,1741200370
9,berbera,10.4396,45.0143,25.04,80,1,2.69,SO,1741200371
10,bredasdorp,-34.5322,20.0403,20.85,83,54,1.94,ZA,1741200372
11,iskateley,67.6803,53.1512,-5.34,90,100,7.15,RU,1741200373
12,utrik,11.2278,169.8474,26.75,77,0,10.3,MH,1741200374
13,oakdale,44.963,-92.9649,-1.31,82,75,10.29,US,1741200375
14,tierp,60.3427,17.5181,9.05,82,100,5.07,SE,1741200376
15,hermanus,-34.4187,19.2345,22.11,85,73,3.34,ZA,1741200378
16,berezovyy,51.6667,135.7,-20.94,95,74,1.6,RU,1741200379
17,bethel,41.3712,-73.414,13.05,71,100,7.2,US,1741200087
18,guerrero negro,27.9769,-114.0611,19.37,49,96,4.14,MX,1741200381
19,albany,42.6001,-73.9662,10.99,82,100,1.79,US,1741200227
20,nar'yan-mar,67.6713,53.087,-5.33,90,100,7.24,RU,1741200383
21,hwange,-18.3693,26.5019,22.13,91,97,0.9,ZW,1741200385
22,xining,36.6167,101.7667,-4.04,72,100,2.06,CN,1741200386
23,ushuaia,-54.8,-68.3,9.81,66,75,11.83,AR,1741200387
24,waitangi,-43.9535,-176.5597,12.68,87,96,3.58,NZ,1741200388
25,ilulissat,69.2167,-51.1,-16.99,60,75,1.54,GL,1741200389
26,san antonio de pale,-1.4014,5.6325,28.18,76,27,3.56,GQ,1741200390
27,puerto ayora,-0.7393,-90.3518,28.64,87,100,4.92,EC,1741200392
28,ust-nera,64.5667,143.2,-28.64,99,100,2.15,RU,1741200393
29,suva,-18.1416,178.4415,23.71,100,40,2.06,FJ,1741200394
30,lebu,-37.6167,-73.65,19.91,74,18,4.18,CL,1741200395
31,vorgashor,67.5833,63.95,-20.77,100,98,2.24,RU,1741200396
32,aykhal,66.0,111.5,-25.59,99,100,2.27,RU,1741200398
33,longyearbyen,78.2186,15.6401,-7.09,73,20,5.66,SJ,1741200399
34,rongelap,11.1635,166.8941,26.76,79,5,10.3,MH,1741200400
35,longonjo,-12.9067,15.2533,18.48,92,20,0.58,AO,1741200401
